Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Diamond Princess,District of Columbia,Florida,Georgia,Grand Princess,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
3/1/20,0,0,1,0,12,0,0,0,44,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0
3/2/20,0,0,1,0,21,0,0,0,45,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,18,0,0,0
3/3/20,0,0,1,0,25,0,0,0,45,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,27,0,0,0
3/4/20,0,0,1,0,35,0,0,0,45,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,11,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,39,0,0,0
3/5/20,0,0,1,0,51,0,0,0,45,0,3,2,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,23,1,0,0,0,3,0,0,2,0,0,1,3,0,0,0,0,70,0,0,0
3/6/20,0,0,2,0,59,3,0,0,45,0,3,3,0,0,0,0,5,1,0,0,1,0,0,3,6,0,1,0,0,0,1,2,2,2,0,31,2,0,0,0,3,2,0,2,0,0,1,4,0,0,0,0,78,0,0,0
3/7/20,0,0,4,0,81,7,0,0,45,0,7,5,21,0,1,0,6,1,0,0,1,0,0,3,6,0,1,0,0,0,1,2,2,4,0,76,2,0,0,1,6,2,0,3,2,0,1,8,1,0,0,0,102,0,0,0
3/8/20,0,0,4,0,95,7,0,0,45,2,10,5,21,0,1,0,7,2,0,1,1,0,0,5,22,0,1,0,1,0,1,4,4,5,0,106,2,0,0,1,14,6,0,3,2,0,3,11,1,1,0,2,122,0,0,0
3/9/20,0,0,4,0,101,7,0,0,45,2,13,10,21,0,1,0,7,3,3,1,4,1,0,5,22,0,2,0,1,0,3,4,4,5,0,142,2,0,0,1,14,7,0,3,3,0,3,13,1,1,0,2,122,0,0,0
3/10/20,0,0,6,0,144,15,2,0,46,5,15,17,21,0,2,0,12,6,8,1,6,1,0,8,92,0,3,0,1,0,3,4,4,15,0,173,7,0,3,2,15,12,0,3,7,0,7,13,2,1,0,7,267,0,3,0
3/11/20,0,0,9,1,177,34,3,1,46,10,28,23,21,0,2,0,25,11,13,1,8,6,0,9,95,2,5,0,1,1,5,7,5,23,3,220,7,0,4,2,19,16,0,5,10,8,9,21,3,1,0,9,366,0,6,0
3/12/20,0,0,9,6,221,45,5,1,46,10,35,31,21,0,2,0,32,13,16,1,10,19,0,12,108,2,9,1,1,1,10,14,6,29,5,328,15,1,5,2,24,22,0,5,12,8,18,27,5,2,0,17,442,0,8,1
3/13/20,5,1,9,6,282,49,11,4,46,10,50,42,21,0,2,1,46,13,17,5,14,36,1,18,123,16,14,1,2,1,13,17,6,29,10,421,17,1,13,2,30,41,0,14,13,8,26,43,9,2,0,30,568,0,19,1
